[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-01-23 to 2024-03-23
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-03-24 to 2024-05-23 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-03-24 to 2024-05-23
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-05-24 to 2024-07-23 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-05-24 to 2024-07-23
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-07-24 to 2024-09-22 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-07-24 to 2024-09-22
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-09-23 to 2024-11-22 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-09-23 to 2024-11-22
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-11-23 to 2025-01-22 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-11-23 to 2025-01-22
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2025-01-23 to 2025-03-24 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2025-01-23 to 2025-03-24
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2025-03-25 to 2025-05-24 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2025-03-25 to 2025-05-24
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2025-05-25 to 2025-07-24 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2025-05-25 to 2025-07-24
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2025-07-25 to 2025-09-23 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2025-07-25 to 2025-09-23
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2025-09-24 to 2025-11-23 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2025-09-24 to 2025-11-23
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2025-11-24 to 2026-01-22 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2025-11-24 to 2026-01-22
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 104 | Collected 120 prices for MAC, bulk inserting...
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 107 | TEFAS fetch completed for MAC: 0 inserted, 120 skipped
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 50 | Fetching TEFAS prices for MAC from 2024-01-01 to 2024-03-31
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-01-01 to 2024-03-01 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 30 prices for chunk 2024-01-01 to 2024-03-01
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-03-02 to 2024-03-31 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 30 prices for chunk 2024-03-02 to 2024-03-31
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 104 | Collected 60 prices for MAC, bulk inserting...
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 107 | TEFAS fetch completed for MAC: 14 inserted, 46 skipped
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 50 | Fetching TEFAS prices for INVALID from 2024-01-01 to 2024-01-10
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-01-01 to 2024-01-10 for INVALID
[11:24:58] WARNING | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 101 | No data found for INVALID between 2024-01-01 and 2024-01-10
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 50 | Fetching TEFAS prices for MAC from 2024-01-01 to 2024-03-31
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-01-01 to 2024-03-01 for MAC
[11:24:58] WARNING | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 93 | Failed to fetch chunk 2024-01-01 to 2024-03-01 for MAC: API error
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-03-02 to 2024-03-31 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-03-02 to 2024-03-31
[11:24:58] WARNING | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 98 | 1 chunks failed for MAC, continuing with successful chunks
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 104 | Collected 10 prices for MAC, bulk inserting...
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 107 | TEFAS fetch completed for MAC: 0 inserted, 10 skipped
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 50 | Fetching TEFAS prices for MAC from 2024-01-01 to 2024-01-10
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 82 | Fetching chunk 2024-01-01 to 2024-01-10 for MAC
[11:24:58] DEBUG | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 90 | Fetched 10 prices for chunk 2024-01-01 to 2024-01-10
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 104 | Collected 10 prices for MAC, bulk inserting...
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 107 | TEFAS fetch completed for MAC: 0 inserted, 10 skipped
[11:24:58] INFO | Process: 24304 | Thread: MainThread | Task: N/A | Logger: tefas | Module: tefas | Line: 50 | Fetching TEFAS prices for MAC from 2024-01-01 to 2024-01-10
